Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_1,dock_availability_1,bike_availability_2,dock_availability_2,bike_availability_3,dock_availability_3,bike_availability_4,dock_availability_4,availability,dock_availability
2022-08-01 00:00:00+00:00,0.2,-3.5,6.1,8,0.0,0,0,False,,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.6458333333333334,0.0
2022-08-01 01:00:00+00:00,0.1,-3.4,6.1,8,0.0,0,1,False,0.0,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.7347916666666667,0.0
2022-08-01 02:00:00+00:00,0.3,-3.5,4.1,8,0.0,0,2,False,0.0,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.9755555555555554,0.7316666666666666,0.0
2022-08-01 03:00:00+00:00,0.2,-3.5,4.3,8,0.0,0,3,False,0.0,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.9811111111111108,0.7358333333333331,0.0
2022-08-01 04:00:00+00:00,0.2,-3.4,4.3,8,0.0,0,4,False,0.0,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.9988888888888888,0.7491666666666666,0.0
2022-08-01 05:00:00+00:00,0.2,-3.5,5.0,8,3.0,0,5,False,0.0,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.9980555555555554,0.7485416666666665,0.0
2022-08-01 06:00:00+00:00,0.0,-3.3,4.0,8,8.0,0,6,False,3.0,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.7372916666666667,0.0
2022-08-01 07:00:00+00:00,0.3,-3.7,3.6,0,1.0,0,7,False,8.0,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.72,0.0
2022-08-01 08:00:00+00:00,0.2,-3.6,3.6,0,2.0,0,8,False,1.0,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9131249999999996,0.655
2022-08-01 09:00:00+00:00,0.3,-3.7,2.6,0,2.0,0,9,False,2.0,0.9958333333333332,0.9958333333333332,0.3119444444444444,0.2963888888888888,0.9958333333333332,0.9958333333333332,0.3119444444444444,0.2963888888888888,0.746875,0.0
2022-08-01 10:00:00+00:00,0.0,-3.5,3.9,7,1.0,0,10,False,2.0,0.981111111111111,0.981111111111111,0.0,0.0216666666666666,0.981111111111111,0.981111111111111,0.0,0.0216666666666666,0.7358333333333333,0.0
2022-08-01 11:00:00+00:00,0.1,-3.3,2.6,7,1.0,0,11,False,1.0,0.982777777777778,0.982777777777778,0.982777777777778,0.982777777777778,0.982777777777778,0.982777777777778,0.982777777777778,0.982777777777778,0.7370833333333335,0.0
2022-08-01 12:00:00+00:00,0.1,-3.0,2.4,7,2.0,0,12,False,1.0,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.5202083333333333,0.0
2022-08-01 13:00:00+00:00,0.0,-2.6,2.0,7,2.0,0,13,False,2.0,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.6447222222222222,0.8727777777777778
2022-08-01 14:00:00+00:00,0.0,-2.5,1.7,7,10.0,0,14,False,2.0,0.9805555555555556,0.9805555555555556,0.9805555555555556,0.9805555555555556,0.9805555555555556,0.9805555555555556,0.9805555555555556,0.9805555555555556,0.9805555555555556,0.9805555555555556
2022-08-01 15:00:00+00:00,0.0,-2.6,2.5,7,7.0,0,15,False,10.0,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888,0.9788888888888888
2022-08-01 16:00:00+00:00,0.0,-3.0,2.4,7,5.0,0,16,False,7.0,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664,0.9816666666666664
2022-08-01 17:00:00+00:00,0.0,-2.7,2.5,7,4.0,0,17,False,5.0,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442,0.9794444444444442
