Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_1,dock_availability_1,bike_availability_2,dock_availability_2,bike_availability_3,dock_availability_3,availability,dock_availability
2022-06-01 00:00:00+00:00,0.0,-3.7,2.2,0,0,2,0,False,,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884
2022-06-01 01:00:00+00:00,0.0,-4.4,0.5,0,0,2,1,False,0.0,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224
2022-06-01 02:00:00+00:00,0.0,-1.7,5.3,0,0,2,2,False,0.0,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666668,0.9866666666666666
2022-06-01 03:00:00+00:00,0.0,-4.3,2.5,0,0,2,3,False,0.0,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444
2022-06-01 04:00:00+00:00,0.0,-4.3,3.8,0,0,2,4,False,0.0,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889
2022-06-01 05:00:00+00:00,0.0,-3.8,3.7,0,0,2,5,False,0.0,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671
2022-06-01 06:00:00+00:00,0.0,-4.5,1.4,0,3,2,6,False,0.0,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222
2022-06-01 07:00:00+00:00,0.0,-5.1,1.0,4,3,2,7,False,3.0,0.7061111111111111,0.7044444444444445,0.9783333333333334,0.9783333333333334,0.7061111111111111,0.7044444444444445,0.9783333333333334,0.9783333333333334
2022-06-01 08:00:00+00:00,0.0,-5.3,0.5,4,2,2,8,False,3.0,0.0691666666666666,0.0772222222222222,0.9880555555555556,0.9880555555555556,0.0691666666666666,0.0772222222222222,0.9607407407407408,0.8916666666666666
2022-06-01 09:00:00+00:00,0.0,-5.4,2.2,4,3,2,9,False,2.0,0.0,0.0,0.9908333333333332,0.9908333333333332,0.0,0.0,0.4246296296296295,0.1352777777777777
2022-06-01 10:00:00+00:00,0.0,-5.9,1.1,2,2,2,10,False,3.0,0.0,0.0,0.9816666666666668,0.9816666666666668,0.0,0.0,0.3272222222222222,0.0
2022-06-01 11:00:00+00:00,0.0,-4.6,1.3,2,0,2,11,False,2.0,0.0,0.0,0.986388888888889,0.986388888888889,0.0,0.0,0.4771296296296296,0.1027777777777777
2022-06-01 12:00:00+00:00,0.0,-4.2,1.2,2,1,2,12,False,0.0,0.0605555555555555,0.0830555555555555,0.9838888888888888,0.9838888888888888,0.0605555555555555,0.0830555555555555,0.8758333333333334,0.9838888888888888
2022-06-01 13:00:00+00:00,0.0,-2.7,1.5,2,7,2,13,False,1.0,0.9899999999999998,0.9899999999999998,0.9899999999999998,0.9899999999999998,0.9899999999999998,0.9899999999999998,0.9899999999999998,0.9899999999999998
2022-06-01 14:00:00+00:00,0.0,-3.9,0.2,2,2,2,14,False,7.0,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.9908333333333332,0.819537037037037,0.5697222222222222
2022-06-01 15:00:00+00:00,0.0,-4.0,0.8,2,1,2,15,False,2.0,0.9874999999999996,0.9874999999999996,0.9874999999999996,0.9874999999999996,0.9874999999999996,0.9874999999999996,0.7886111111111109,0.7888888888888888
2022-06-01 16:00:00+00:00,0.0,-6.6,0.0,1,1,2,16,False,1.0,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.982222222222222,0.9075925925925924,0.982222222222222
2022-06-01 17:00:00+00:00,0.0,-7.7,1.6,1,1,2,17,False,1.0,0.9911111111111108,0.9911111111111108,0.9911111111111108,0.9911111111111108,0.9911111111111108,0.9911111111111108,0.6607407407407405,0.9911111111111108
2022-06-01 18:00:00+00:00,0.0,-8.5,1.1,1,0,2,18,False,1.0,0.5655555555555556,0.5194444444444445,0.989444444444444,0.989444444444444,0.5655555555555556,0.5194444444444445,0.5948148148148146,0.989444444444444
2022-06-01 19:00:00+00:00,0.0,-9.0,1.7,0,0,2,19,False,0.0,0.9805555555555552,0.9933333333333332,0.3244444444444444,0.3022222222222221,0.9805555555555552,0.9933333333333332,0.5853703703703702,0.9933333333333332
2022-06-01 20:00:00+00:00,0.0,-9.0,2.7,0,2,2,20,False,0.0,0.9983333333333332,0.9983333333333332,0.7299999999999999,0.7530555555555554,0.9983333333333332,0.9983333333333332,0.3649074074074073,0.0647222222222222
2022-06-01 21:00:00+00:00,0.0,-9.5,1.8,0,0,2,21,False,2.0,0.8599999999999998,0.8777777777777775,0.7511111111111108,0.7363888888888886,0.8599999999999998,0.8777777777777775,0.2634259259259258,0.0
2022-06-01 22:00:00+00:00,0.0,-9.2,2.2,5,1,2,22,False,0.0,0.9877777777777776,0.9877777777777776,0.8455555555555556,0.8355555555555557,0.9877777777777776,0.9877777777777776,0.4125925925925925,0.0
2022-06-01 23:00:00+00:00,0.0,-8.2,1.9,5,0,2,23,False,1.0,0.979722222222222,0.979722222222222,0.7663888888888889,0.7519444444444444,0.979722222222222,0.979722222222222,0.4343518518518518,0.0
2022-06-02 00:00:00+00:00,0.0,3.1,0.9,8,0,3,0,False,0.0,0.9847222222222224,0.9847222222222224,0.0,0.0,0.9847222222222224,0.9847222222222224,0.1871296296296296,0.0
2022-06-02 01:00:00+00:00,0.0,2.3,2.2,8,0,3,1,False,0.0,0.9841666666666667,0.9841666666666667,0.0,0.0,0.9841666666666667,0.9841666666666667,0.3280555555555556,0.0
2022-06-02 02:00:00+00:00,0.0,1.1,2.5,8,0,3,2,False,0.0,0.9808333333333332,0.9808333333333332,0.0,0.0,0.9808333333333332,0.9808333333333332,0.3269444444444444,0.0
2022-06-02 03:00:00+00:00,0.0,1.4,5.6,8,0,3,3,False,0.0,0.9911111111111108,0.9911111111111108,0.0,0.0,0.9911111111111108,0.9911111111111108,0.3303703703703702,0.0
2022-06-02 04:00:00+00:00,0.0,2.1,6.3,8,0,3,4,False,0.0,0.9866666666666664,0.9866666666666664,0.0,0.0,0.9866666666666664,0.9866666666666664,0.3288888888888888,0.0
2022-06-02 05:00:00+00:00,0.0,1.2,5.4,8,2,3,5,False,0.0,0.984444444444444,0.984444444444444,0.0,0.0,0.984444444444444,0.984444444444444,0.328148148148148,0.0
2022-06-02 06:00:00+00:00,0.0,-0.3,4.1,8,6,3,6,False,2.0,0.9861111111111108,0.9861111111111108,0.5316666666666667,0.5461111111111112,0.9861111111111108,0.9861111111111108,0.3287037037037036,0.0
