Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour
2022-08-01 00:00:00+00:00,0.2,-3.5,6.1,8,0,0,0,False,
2022-08-01 01:00:00+00:00,0.1,-3.4,6.1,8,0,0,1,False,0.0
2022-08-01 02:00:00+00:00,0.3,-3.5,4.1,8,0,0,2,False,0.0
2022-08-01 03:00:00+00:00,0.2,-3.5,4.3,8,0,0,3,False,0.0
2022-08-01 04:00:00+00:00,0.2,-3.4,4.3,8,0,0,4,False,0.0
2022-08-01 05:00:00+00:00,0.2,-3.5,5.0,8,0,0,5,False,0.0
2022-08-01 06:00:00+00:00,0.0,-3.3,4.0,8,0,0,6,False,0.0
2022-08-01 07:00:00+00:00,0.3,-3.7,3.6,0,0,0,7,False,0.0
2022-08-01 08:00:00+00:00,0.2,-3.6,3.6,0,0,0,8,False,0.0
2022-08-01 09:00:00+00:00,0.3,-3.7,2.6,0,0,0,9,False,0.0
2022-08-01 10:00:00+00:00,0.0,-3.5,3.9,7,0,0,10,False,0.0
2022-08-01 11:00:00+00:00,0.1,-3.3,2.6,7,0,0,11,False,0.0
2022-08-01 12:00:00+00:00,0.1,-3.0,2.4,7,0,0,12,False,0.0
2022-08-01 13:00:00+00:00,0.0,-2.6,2.0,7,0,0,13,False,0.0
2022-08-31 14:00:00+00:00,0.0,20.0,2.0,1,7,2,14,False,0.0
2022-08-31 15:00:00+00:00,0.0,19.9,2.6,1,12,2,15,False,7.0
2022-08-31 16:00:00+00:00,0.0,19.8,2.0,6,0,2,16,False,12.0
2022-08-31 17:00:00+00:00,0.0,19.7,2.0,6,0,2,17,False,0.0
2022-08-31 18:00:00+00:00,0.0,18.3,1.5,6,0,2,18,False,0.0
2022-08-31 19:00:00+00:00,0.0,15.8,1.2,2,0,2,19,False,0.0
2022-08-31 20:00:00+00:00,0.0,13.0,1.7,2,0,2,20,False,0.0
2022-08-31 21:00:00+00:00,0.0,11.8,2.2,2,0,2,21,False,0.0
2022-08-31 22:00:00+00:00,0.0,11.2,2.6,0,0,2,22,False,0.0
2022-08-31 23:00:00+00:00,0.0,10.8,2.5,0,0,2,23,False,0.0
