Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_x,dock_availability_x,bike_availability_y,dock_availability_y,bike_availability,dock_availability_x,availability,dock_availability_y
2022-06-01 00:00:00+00:00,0.0,-3.7,2.2,0,0,2,0,False,,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.9963888888888884,0.3321296296296295,0.9963888888888884
2022-06-01 01:00:00+00:00,0.0,-4.4,0.5,0,0,2,1,False,0.0,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.3265740740740741,0.9797222222222224
2022-06-01 02:00:00+00:00,0.0,-1.7,5.3,0,0,2,2,False,0.0,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.9866666666666666,0.3288888888888888,0.9866666666666666
2022-06-01 03:00:00+00:00,0.0,-4.3,2.5,0,1,2,3,False,0.0,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.3273148148148148,0.9819444444444444
2022-06-01 04:00:00+00:00,0.0,-4.3,3.8,0,1,2,4,False,1.0,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.978888888888889,0.3262962962962963,0.978888888888889
2022-06-01 05:00:00+00:00,0.0,-3.8,3.7,0,16,2,5,False,1.0,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.9966666666666671,0.3322222222222223,0.9966666666666671
2022-06-01 06:00:00+00:00,0.0,-4.5,1.4,0,16,2,6,False,16.0,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.984722222222222,0.3680555555555555,0.984722222222222
2022-06-01 07:00:00+00:00,0.0,-5.1,1.0,4,5,2,7,False,16.0,0.7061111111111111,0.7044444444444445,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.9783333333333334,0.6228703703703703,0.9783333333333334
2022-06-01 08:00:00+00:00,0.0,-5.3,0.5,4,5,2,8,False,5.0,0.0691666666666666,0.0772222222222222,0.9880555555555556,0.9880555555555556,0.7405555555555555,0.6863888888888888,0.7812037037037037,0.9880555555555556
2022-06-01 09:00:00+00:00,0.0,-5.4,2.2,4,5,2,9,False,5.0,0.0,0.0,0.9908333333333332,0.9908333333333332,0.0508333333333333,0.0455555555555555,0.4076851851851851,0.035
