Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,month,num_bikes_available
2022-03-23 12:00:00+00:00,0.0,7.8,1.9,0,0,2,12,False,1.0,3,1
2022-03-23 13:00:00+00:00,0.0,9.1,2.4,0,0,2,13,False,0.0,3,0
2022-03-23 14:00:00+00:00,0.0,10.0,2.2,0,1,2,14,False,0.0,3,0
2022-03-23 15:00:00+00:00,0.0,10.7,2.6,0,0,2,15,False,1.0,3,0
2022-03-23 16:00:00+00:00,0.0,11.1,2.6,0,1,2,16,False,0.0,3,0
2022-03-23 17:00:00+00:00,0.0,10.0,2.0,0,1,2,17,False,1.0,3,1
2022-03-23 18:00:00+00:00,0.0,8.8,2.8,0,0,2,18,False,1.0,3,3
2022-03-23 19:00:00+00:00,0.0,6.2,2.7,1,2,2,19,False,0.0,3,4
2022-03-23 20:00:00+00:00,0.0,4.4,1.8,1,2,2,20,False,2.0,3,4
2022-03-23 21:00:00+00:00,0.0,3.0,1.1,1,1,2,21,False,2.0,3,2
2022-03-23 22:00:00+00:00,0.0,1.7,1.4,1,0,2,22,False,1.0,3,1
2022-03-23 23:00:00+00:00,0.0,1.3,1.1,1,0,2,23,False,0.0,3,0
2022-03-24 00:00:00+00:00,0.0,1.4,1.2,1,0,3,0,False,0.0,3,0
2022-03-24 01:00:00+00:00,0.0,1.3,1.4,1,0,3,1,False,0.0,3,0
2022-03-24 02:00:00+00:00,0.0,1.3,0.4,1,0,3,2,False,0.0,3,0
2022-03-24 03:00:00+00:00,0.0,1.3,1.4,1,0,3,3,False,0.0,3,0
2022-03-24 04:00:00+00:00,0.0,0.9,1.1,1,0,3,4,False,0.0,3,0
2022-03-24 05:00:00+00:00,0.0,0.8,1.2,1,0,3,5,False,0.0,3,0
2022-03-24 06:00:00+00:00,0.0,0.6,1.3,1,0,3,6,False,0.0,3,0
2022-03-24 07:00:00+00:00,0.0,0.5,1.1,0,0,3,7,False,0.0,3,0
2022-03-24 08:00:00+00:00,0.0,0.9,0.5,0,0,3,8,False,0.0,3,0
2022-03-24 09:00:00+00:00,0.0,1.2,1.1,0,0,3,9,False,0.0,3,0
2022-03-24 10:00:00+00:00,0.0,1.5,2.0,0,0,3,10,False,0.0,3,0
2022-03-24 11:00:00+00:00,0.0,2.2,1.6,0,0,3,11,False,0.0,3,0
2022-03-24 12:00:00+00:00,0.0,3.2,2.0,0,0,3,12,False,0.0,3,0
2022-03-24 13:00:00+00:00,0.0,4.1,2.0,7,0,3,13,False,0.0,3,0
2022-03-24 14:00:00+00:00,0.0,5.8,1.0,7,0,3,14,False,0.0,3,0
2022-03-24 15:00:00+00:00,0.0,8.6,1.2,7,1,3,15,False,0.0,3,0
2022-03-24 16:00:00+00:00,0.0,9.0,1.2,6,2,3,16,False,1.0,3,0
2022-03-24 17:00:00+00:00,0.0,8.8,0.9,6,3,3,17,False,2.0,3,0
2022-03-24 18:00:00+00:00,0.0,7.1,0.6,6,0,3,18,False,3.0,3,5
2022-03-24 19:00:00+00:00,0.0,5.5,0.8,4,1,3,19,False,0.0,3,3
2022-03-24 20:00:00+00:00,0.0,3.9,1.1,4,0,3,20,False,1.0,3,3
2022-03-24 21:00:00+00:00,0.0,3.2,0.8,4,0,3,21,False,0.0,3,2
2022-03-24 22:00:00+00:00,0.0,3.1,0.4,2,0,3,22,False,0.0,3,2
2022-03-24 23:00:00+00:00,0.0,2.2,0.4,2,0,3,23,False,0.0,3,2
2022-03-25 00:00:00+00:00,0.0,2.0,1.6,2,0,4,0,False,0.0,3,2
2022-03-25 01:00:00+00:00,0.0,1.7,0.4,2,0,4,1,False,0.0,3,2
2022-03-25 02:00:00+00:00,0.0,1.5,0.6,2,0,4,2,False,0.0,3,2
2022-03-25 03:00:00+00:00,0.0,1.4,0.6,2,0,4,3,False,0.0,3,2
2022-03-25 04:00:00+00:00,0.0,2.2,0.9,2,0,4,4,False,0.0,3,2
2022-03-25 05:00:00+00:00,0.0,2.6,1.6,2,0,4,5,False,0.0,3,2
2022-03-25 06:00:00+00:00,0.0,2.9,1.5,2,0,4,6,False,0.0,3,2
2022-03-25 07:00:00+00:00,0.0,3.8,1.4,7,1,4,7,False,0.0,3,2
2022-03-25 08:00:00+00:00,0.0,10.3,4.5,7,3,4,8,False,1.0,3,2
2022-03-25 09:00:00+00:00,0.0,10.4,3.0,7,0,4,9,False,3.0,3,3
2022-03-25 10:00:00+00:00,0.0,11.5,5.9,7,1,4,10,False,0.0,3,0
2022-03-25 11:00:00+00:00,0.0,12.1,4.2,7,1,4,11,False,1.0,3,1
2022-03-25 12:00:00+00:00,0.0,13.0,6.3,7,1,4,12,False,1.0,3,0
2022-03-25 13:00:00+00:00,0.0,13.3,5.6,7,1,4,13,False,1.0,3,0
2022-03-25 14:00:00+00:00,0.0,13.3,1.5,7,0,4,14,False,1.0,3,0
2022-03-25 15:00:00+00:00,0.0,13.9,4.2,7,0,4,15,False,0.0,3,0
2022-03-25 16:00:00+00:00,0.0,14.2,4.2,7,1,4,16,False,0.0,3,0
2022-03-25 17:00:00+00:00,0.0,13.4,5.8,7,0,4,17,False,1.0,3,0
2022-03-25 18:00:00+00:00,0.0,12.9,4.6,7,0,4,18,False,0.0,3,0
2022-03-25 19:00:00+00:00,0.0,11.9,4.9,3,0,4,19,False,0.0,3,0
2022-03-25 20:00:00+00:00,0.0,9.8,1.4,3,1,4,20,False,0.0,3,0
2022-03-25 21:00:00+00:00,0.0,10.5,4.3,3,0,4,21,False,1.0,3,1
2022-03-25 22:00:00+00:00,0.0,9.7,1.9,1,0,4,22,False,0.0,3,0
2022-03-25 23:00:00+00:00,0.0,9.0,2.7,1,0,4,23,False,0.0,3,0
2022-03-26 00:00:00+00:00,0.0,8.4,3.3,1,0,5,0,False,0.0,3,0
2022-03-26 01:00:00+00:00,0.0,6.2,1.5,1,0,5,1,False,0.0,3,0
2022-03-26 02:00:00+00:00,0.0,4.6,3.6,1,0,5,2,False,0.0,3,0
2022-03-26 03:00:00+00:00,0.0,5.5,5.4,1,0,5,3,False,0.0,3,0
2022-03-26 04:00:00+00:00,0.0,4.9,5.5,1,0,5,4,False,0.0,3,0
2022-03-26 05:00:00+00:00,0.0,3.3,1.5,1,0,5,5,False,0.0,3,0
2022-03-26 06:00:00+00:00,0.0,4.4,3.5,1,0,5,6,False,0.0,3,0
2022-03-26 07:00:00+00:00,0.0,3.5,1.6,1,0,5,7,False,0.0,3,0
2022-03-26 08:00:00+00:00,0.0,5.6,3.6,1,0,5,8,False,0.0,3,0
2022-03-26 09:00:00+00:00,0.0,7.7,4.1,1,0,5,9,False,0.0,3,1
2022-03-26 10:00:00+00:00,0.0,8.4,5.8,4,1,5,10,False,0.0,3,1
2022-03-26 11:00:00+00:00,0.0,9.4,4.6,4,1,5,11,False,1.0,3,3
2022-03-26 12:00:00+00:00,0.0,10.6,3.8,4,4,5,12,False,1.0,3,1
2022-03-26 13:00:00+00:00,0.0,10.8,5.8,3,0,5,13,False,4.0,3,4
2022-03-26 14:00:00+00:00,0.0,11.5,4.7,3,0,5,14,False,0.0,3,0
2022-03-26 15:00:00+00:00,0.0,11.4,2.3,3,0,5,15,False,0.0,3,0
2022-03-26 16:00:00+00:00,0.0,9.9,4.4,6,1,5,16,False,0.0,3,0
2022-03-26 17:00:00+00:00,0.0,10.0,2.2,6,1,5,17,False,1.0,3,1
2022-03-26 18:00:00+00:00,0.0,9.0,2.6,6,1,5,18,False,1.0,3,1
2022-03-26 19:00:00+00:00,0.0,7.1,3.0,4,0,5,19,False,1.0,3,1
2022-03-26 20:00:00+00:00,0.0,5.4,3.8,4,0,5,20,False,0.0,3,0
2022-03-26 21:00:00+00:00,0.0,5.2,2.1,4,0,5,21,False,0.0,3,0
2022-03-26 22:00:00+00:00,0.0,4.8,1.3,7,0,5,22,False,0.0,3,0
2022-03-26 23:00:00+00:00,0.0,5.1,0.4,7,0,5,23,False,0.0,3,0
2022-03-27 00:00:00+00:00,0.0,5.1,1.3,7,0,6,0,False,0.0,3,0
2022-03-27 01:00:00+00:00,0.0,4.8,0.7,7,0,6,1,False,0.0,3,0
2022-03-27 02:00:00+00:00,0.0,5.1,1.6,7,0,6,2,False,0.0,3,0
2022-03-27 03:00:00+00:00,0.0,4.2,2.7,7,0,6,3,False,0.0,3,0
2022-03-27 04:00:00+00:00,0.0,2.8,0.9,7,0,6,4,False,0.0,3,0
2022-03-27 05:00:00+00:00,0.0,1.2,1.5,7,0,6,5,False,0.0,3,0
2022-03-27 06:00:00+00:00,0.0,0.6,2.2,7,0,6,6,False,0.0,3,0
2022-03-27 07:00:00+00:00,0.0,1.2,1.0,8,0,6,7,False,0.0,3,0
2022-03-27 08:00:00+00:00,0.0,2.5,0.7,8,0,6,8,False,0.0,3,0
2022-03-27 09:00:00+00:00,0.0,3.7,0.4,8,0,6,9,False,0.0,3,1
2022-03-27 10:00:00+00:00,0.0,4.3,0.8,8,0,6,10,False,0.0,3,1
2022-03-27 11:00:00+00:00,0.0,4.8,0.6,8,0,6,11,False,0.0,3,1
2022-03-27 12:00:00+00:00,0.0,6.0,1.0,8,3,6,12,False,0.0,3,1
2022-03-27 13:00:00+00:00,0.0,7.8,0.7,7,0,6,13,False,3.0,3,3
2022-03-27 14:00:00+00:00,0.0,9.8,1.9,7,6,6,14,False,0.0,3,3
2022-03-27 15:00:00+00:00,0.0,14.2,5.3,7,1,6,15,False,6.0,3,0
2022-03-27 16:00:00+00:00,0.0,15.3,4.8,6,2,6,16,False,1.0,3,3
2022-03-27 17:00:00+00:00,0.0,13.9,6.8,6,0,6,17,False,2.0,3,1
2022-03-27 18:00:00+00:00,0.0,12.4,6.9,6,1,6,18,False,0.0,3,2
2022-03-27 19:00:00+00:00,0.0,11.0,5.1,6,1,6,19,False,1.0,3,0
2022-03-27 20:00:00+00:00,0.0,9.9,2.7,6,0,6,20,False,1.0,3,0
2022-03-27 21:00:00+00:00,0.0,9.3,3.8,6,0,6,21,False,0.0,3,0
2022-03-27 22:00:00+00:00,0.0,8.8,3.1,6,0,6,22,False,0.0,3,0
2022-03-27 23:00:00+00:00,0.0,9.2,5.5,6,0,6,23,False,0.0,3,1
2022-03-28 00:00:00+00:00,0.0,9.2,5.7,6,0,0,0,False,0.0,3,1
2022-03-28 01:00:00+00:00,0.0,8.3,5.0,6,0,0,1,False,0.0,3,1
2022-03-28 02:00:00+00:00,0.0,8.1,4.8,6,0,0,2,False,0.0,3,1
2022-03-28 03:00:00+00:00,0.0,8.5,5.5,6,0,0,3,False,0.0,3,1
2022-03-28 04:00:00+00:00,0.0,8.9,4.3,6,0,0,4,False,0.0,3,1
2022-03-28 05:00:00+00:00,0.0,9.0,3.9,6,0,0,5,False,0.0,3,1
2022-03-28 06:00:00+00:00,0.0,9.8,4.9,6,1,0,6,False,0.0,3,1
2022-03-28 07:00:00+00:00,0.0,10.2,4.5,7,0,0,7,False,1.0,3,1
2022-03-28 08:00:00+00:00,0.0,10.8,3.8,7,0,0,8,False,0.0,3,1
2022-03-28 09:00:00+00:00,0.0,10.3,7.5,7,0,0,9,False,0.0,3,0
2022-03-28 10:00:00+00:00,0.0,9.4,6.5,7,0,0,10,False,0.0,3,0
2022-03-28 11:00:00+00:00,0.0,10.3,5.2,7,0,0,11,False,0.0,3,0
2022-03-28 12:00:00+00:00,0.0,10.9,4.7,7,1,0,12,False,0.0,3,0
2022-03-28 13:00:00+00:00,0.0,10.4,6.7,3,1,0,13,False,1.0,3,0
2022-03-28 14:00:00+00:00,0.0,11.7,6.5,3,0,0,14,False,1.0,3,0
2022-03-28 15:00:00+00:00,0.0,10.7,6.4,3,0,0,15,False,0.0,3,0
2022-03-28 16:00:00+00:00,0.0,9.8,4.1,6,0,0,16,False,0.0,3,0
2022-03-28 17:00:00+00:00,0.0,8.5,5.4,6,1,0,17,False,0.0,3,2
2022-03-28 18:00:00+00:00,0.0,7.8,3.9,6,0,0,18,False,1.0,3,3
2022-03-28 19:00:00+00:00,0.0,5.9,4.3,3,0,0,19,False,0.0,3,5
2022-03-28 20:00:00+00:00,0.0,4.9,4.6,3,1,0,20,False,0.0,3,5
2022-03-28 21:00:00+00:00,0.0,4.2,4.6,3,0,0,21,False,1.0,3,8
2022-03-28 22:00:00+00:00,0.0,2.9,5.1,0,0,0,22,False,0.0,3,8
2022-03-28 23:00:00+00:00,0.0,2.4,3.7,0,0,0,23,False,0.0,3,7
2022-03-29 00:00:00+00:00,0.0,1.5,2.3,0,0,1,0,False,0.0,3,7
2022-03-29 01:00:00+00:00,0.0,1.6,3.1,0,0,1,1,False,0.0,3,7
2022-03-29 02:00:00+00:00,0.0,0.1,2.7,0,0,1,2,False,0.0,3,7
2022-03-29 03:00:00+00:00,0.0,-1.2,1.7,0,0,1,3,False,0.0,3,7
2022-03-29 04:00:00+00:00,0.0,-2.1,0.6,0,0,1,4,False,0.0,3,7
2022-03-29 05:00:00+00:00,0.0,-2.0,0.6,0,1,1,5,False,0.0,3,7
2022-03-29 06:00:00+00:00,0.0,-2.5,0.9,0,0,1,6,False,1.0,3,7
2022-03-29 07:00:00+00:00,0.0,-1.5,1.3,4,1,1,7,False,0.0,3,7
2022-03-29 08:00:00+00:00,0.0,0.4,1.2,4,0,1,8,False,1.0,3,7
2022-03-29 09:00:00+00:00,0.0,2.0,1.5,4,0,1,9,False,0.0,3,7
2022-03-29 10:00:00+00:00,0.0,2.3,1.7,6,0,1,10,False,0.0,3,6
2022-03-29 11:00:00+00:00,0.0,3.6,0.8,6,0,1,11,False,0.0,3,6
2022-03-29 12:00:00+00:00,0.0,4.0,2.6,6,0,1,12,False,0.0,3,8
2022-03-29 13:00:00+00:00,0.0,3.0,2.2,8,0,1,13,False,0.0,3,8
2022-03-29 14:00:00+00:00,0.0,2.3,5.2,8,2,1,14,False,0.0,3,8
2022-03-29 15:00:00+00:00,0.2,1.3,2.1,8,1,1,15,False,2.0,3,8
2022-03-29 16:00:00+00:00,0.0,2.9,1.0,7,0,1,16,False,1.0,3,8
2022-03-29 17:00:00+00:00,0.0,1.6,4.7,7,0,1,17,False,0.0,3,7
2022-03-29 18:00:00+00:00,0.0,1.6,1.8,7,0,1,18,False,0.0,3,6
2022-03-29 19:00:00+00:00,0.0,0.6,0.9,3,0,1,19,False,0.0,3,7
2022-03-29 20:00:00+00:00,0.0,-0.3,3.3,3,0,1,20,False,0.0,3,7
2022-03-29 21:00:00+00:00,0.0,-0.3,5.0,3,0,1,21,False,0.0,3,7
2022-03-29 22:00:00+00:00,0.0,-0.9,4.2,2,0,1,22,False,0.0,3,7
2022-03-29 23:00:00+00:00,0.0,-1.1,5.1,2,0,1,23,False,0.0,3,7
2022-03-30 00:00:00+00:00,0.0,-1.8,4.8,2,0,2,0,False,0.0,3,7
2022-03-30 01:00:00+00:00,0.0,-2.4,4.6,2,0,2,1,False,0.0,3,7
2022-03-30 02:00:00+00:00,0.0,-3.1,2.7,2,0,2,2,False,0.0,3,7
2022-03-30 03:00:00+00:00,0.0,-3.4,3.8,2,0,2,3,False,0.0,3,7
2022-03-30 04:00:00+00:00,0.0,-4.5,1.9,2,0,2,4,False,0.0,3,7
2022-03-30 05:00:00+00:00,0.0,-4.9,1.5,2,0,2,5,False,0.0,3,7
2022-03-30 06:00:00+00:00,0.0,-5.9,1.4,2,0,2,6,False,0.0,3,7
2022-03-30 07:00:00+00:00,0.0,-4.7,2.6,1,0,2,7,False,0.0,3,7
2022-03-30 08:00:00+00:00,0.0,-1.4,0.7,1,0,2,8,False,0.0,3,7
2022-03-30 09:00:00+00:00,0.0,0.2,1.6,1,2,2,9,False,0.0,3,8
2022-03-30 10:00:00+00:00,0.0,1.4,2.6,1,1,2,10,False,2.0,3,9
2022-03-30 11:00:00+00:00,0.0,3.4,1.5,1,0,2,11,False,1.0,3,10
2022-03-30 12:00:00+00:00,0.0,3.8,2.7,1,0,2,12,False,0.0,3,8
2022-03-30 13:00:00+00:00,0.0,4.5,3.7,1,1,2,13,False,0.0,3,8
2022-03-30 14:00:00+00:00,0.0,4.5,4.5,1,0,2,14,False,1.0,3,8
2022-03-30 15:00:00+00:00,0.0,5.1,3.7,1,0,2,15,False,0.0,3,9
2022-03-30 16:00:00+00:00,0.0,4.7,2.8,7,2,2,16,False,0.0,3,10
2022-03-30 17:00:00+00:00,0.1,3.2,5.3,7,0,2,17,False,2.0,3,12
2022-03-30 18:00:00+00:00,0.0,2.6,2.7,7,0,2,18,False,0.0,3,14
2022-03-30 19:00:00+00:00,0.0,1.2,3.8,3,0,2,19,False,0.0,3,12
2022-03-30 20:00:00+00:00,0.0,-0.2,2.4,3,0,2,20,False,0.0,3,14
2022-03-30 21:00:00+00:00,0.0,-1.0,2.4,3,0,2,21,False,0.0,3,14
2022-03-30 22:00:00+00:00,0.0,-0.6,2.8,1,0,2,22,False,0.0,3,12
2022-03-30 23:00:00+00:00,0.0,-1.2,3.1,1,0,2,23,False,0.0,3,12
2022-03-31 00:00:00+00:00,0.0,-0.8,2.9,1,0,3,0,False,0.0,3,12
2022-03-31 01:00:00+00:00,0.0,-1.5,2.6,1,0,3,1,False,0.0,3,12
2022-03-31 02:00:00+00:00,0.0,-1.6,3.7,1,0,3,2,False,0.0,3,12
2022-03-31 03:00:00+00:00,0.0,-2.0,2.4,1,0,3,3,False,0.0,3,12
2022-03-31 04:00:00+00:00,0.0,-3.0,2.3,1,0,3,4,False,0.0,3,12
2022-03-31 05:00:00+00:00,0.0,-2.5,3.2,1,0,3,5,False,0.0,3,12
2022-03-31 06:00:00+00:00,0.0,-2.4,2.5,1,0,3,6,False,0.0,3,12
2022-03-31 07:00:00+00:00,0.0,-1.9,2.6,1,0,3,7,False,0.0,3,12
2022-03-31 08:00:00+00:00,0.0,1.0,1.4,1,0,3,8,False,0.0,3,12
2022-03-31 09:00:00+00:00,0.0,2.4,4.8,1,0,3,9,False,0.0,3,13
2022-03-31 10:00:00+00:00,0.0,3.5,4.2,1,0,3,10,False,0.0,3,13
2022-03-31 11:00:00+00:00,0.0,3.7,4.5,1,0,3,11,False,0.0,3,14
2022-03-31 12:00:00+00:00,0.0,4.3,4.3,1,0,3,12,False,0.0,3,14
2022-03-31 13:00:00+00:00,0.0,5.7,2.6,4,0,3,13,False,0.0,3,14
2022-03-31 14:00:00+00:00,0.0,4.8,3.4,4,1,3,14,False,0.0,3,15
2022-03-31 15:00:00+00:00,0.0,5.9,4.0,4,0,3,15,False,1.0,3,15
2022-03-31 16:00:00+00:00,0.0,4.2,4.6,7,2,3,16,False,0.0,3,15
