Unnamed: 0,Nedbør (1 t),Lufttemperatur,Middelvind,Skydekke,count,weekday,hour,isHoliday,count_last_hour,bike_availability_500,dock_availability_500,bike_availability_2334,dock_availability_2334,bike_availability_483,dock_availability_483,availability,dock_availability
2022-07-01 00:00:00+00:00,0.0,-7.1,2.2,5,0,4,0,False,,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222,0.999722222222222
2022-07-01 01:00:00+00:00,0.0,-8.1,0.4,5,0,4,1,False,0.0,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.9627777777777776,0.1138888888888888,0.0997222222222222,0.9627777777777776,0.9627777777777776
2022-07-01 02:00:00+00:00,0.0,-7.9,2.4,5,0,4,2,False,0.0,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.9991666666666668,0.0,0.0,0.9991666666666668,0.9991666666666668
2022-07-01 03:00:00+00:00,0.0,-7.3,0.2,5,0,4,3,False,0.0,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.9830555555555556,0.0,0.0,0.9830555555555556,0.9830555555555556
2022-07-01 04:00:00+00:00,0.0,-6.0,3.4,5,0,4,4,False,0.0,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.9838888888888888,0.0,0.0,0.9838888888888888,0.9838888888888888
2022-07-01 05:00:00+00:00,0.0,-5.7,3.4,5,0,4,5,False,0.0,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.9658333333333337,0.0,0.0,0.9658333333333337,0.9658333333333337
2022-07-01 06:00:00+00:00,0.1,-5.7,4.9,5,1,4,6,False,0.0,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.9791666666666664,0.0,0.0,0.9791666666666664,0.9791666666666664
2022-07-01 07:00:00+00:00,0.4,-5.5,4.2,0,1,4,7,False,1.0,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.9977777777777778,0.0,0.0,0.9977777777777778,0.9977777777777778
2022-07-01 08:00:00+00:00,0.6,-5.7,5.1,0,0,4,8,False,1.0,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.9605555555555556,0.0,0.0,0.9605555555555556,0.9605555555555556
2022-07-01 09:00:00+00:00,1.2,-5.5,4.8,0,3,4,9,False,0.0,0.981388888888889,0.981388888888889,0.981388888888889,0.981388888888889,0.4847222222222223,0.5002777777777779,0.6169444444444444,0.593888888888889
2022-07-01 10:00:00+00:00,0.6,-5.0,3.8,0,0,4,10,False,3.0,0.965277777777778,0.965277777777778,0.965277777777778,0.965277777777778,0.0,0.0,0.1322222222222222,0.1019444444444444
2022-07-01 11:00:00+00:00,0.6,-4.2,4.1,0,0,4,11,False,0.0,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.9797222222222224,0.0,0.0,0.4841666666666666,0.4991666666666666
2022-07-01 12:00:00+00:00,0.5,-4.0,4.5,0,0,4,12,False,0.0,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.9819444444444444,0.0,0.0,0.9819444444444444,0.9819444444444444
2022-07-01 13:00:00+00:00,0.2,-3.1,4.8,0,0,4,13,False,0.0,0.9786111111111108,0.9786111111111108,0.9786111111111108,0.9786111111111108,0.0,0.0,0.9786111111111108,0.9786111111111108
2022-07-01 14:00:00+00:00,0.4,-2.8,4.5,0,1,4,14,False,0.0,0.9994444444444442,0.9994444444444442,0.9994444444444442,0.9994444444444442,0.2711111111111111,0.2861111111111111,0.0625,0.0475
2022-07-01 15:00:00+00:00,0.5,-3.1,3.9,0,0,4,15,False,1.0,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.9658333333333332,0.0,0.0
2022-07-01 16:00:00+00:00,0.8,-3.1,4.7,0,1,4,16,False,0.0,0.9605555555555552,0.9605555555555552,0.9605555555555552,0.9605555555555552,0.9605555555555552,0.9605555555555552,0.0152777777777777,0.015
2022-07-01 17:00:00+00:00,0.2,-2.8,3.9,0,0,4,17,False,1.0,0.9855555555555552,0.9855555555555552,0.9855555555555552,0.9855555555555552,0.9855555555555552,0.9855555555555552,0.0,0.0
2022-07-01 18:00:00+00:00,0.0,-3.1,4.3,0,0,4,18,False,0.0,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.9791666666666669,0.0155555555555555,0.0147222222222222
2022-07-01 19:00:00+00:00,0.1,-3.3,6.1,8,0,4,19,False,0.0,0.9441666666666664,0.9441666666666664,0.9441666666666664,0.9441666666666664,0.9441666666666664,0.9441666666666664,0.0,0.0
2022-07-01 20:00:00+00:00,0.3,-3.3,6.5,8,0,4,20,False,0.0,0.9986111111111108,0.9986111111111108,0.9986111111111108,0.9986111111111108,0.8438888888888887,0.8361111111111109,0.0,0.0
2022-07-01 21:00:00+00:00,0.2,-3.2,5.7,8,0,4,21,False,0.0,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.9794444444444445,0.2294444444444444,0.2680555555555555,0.0,0.0
2022-07-01 22:00:00+00:00,0.4,-3.1,5.5,8,0,4,22,False,0.0,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.9827777777777776,0.6594444444444444,0.6591666666666666,0.0,0.0
2022-07-01 23:00:00+00:00,0.1,-3.4,6.8,8,0,4,23,False,0.0,0.9799999999999998,0.9799999999999998,0.3802777777777778,0.3341666666666667,0.0,0.0,0.0,0.0
